City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Am Timan,TD,2021-09-09 18:28:38,11.0297,20.2827,78.66,81,84,4.16
178,Koslan,RU,2021-09-09 18:28:39,63.4564,48.8989,40.82,92,82,10.76
179,Mehamn,NO,2021-09-09 18:28:39,71.0357,27.8492,44.55,76,75,19.57
180,Minab,IR,2021-09-09 18:28:39,27.1467,57.0801,90.9,47,47,5.26
181,Harper,LR,2021-09-09 18:28:39,4.375,-7.7169,78.49,85,59,10.78
182,Esmeraldas,BR,2021-09-09 18:28:40,-19.7625,-44.3139,95.11,18,21,6.26
183,Tiquisio,CO,2021-09-09 18:28:40,8.5597,-74.2669,89.33,66,88,2.28
184,Rochelle,FR,2021-09-09 18:28:40,46.25,-1.0,69.89,83,100,11.5
185,Villazon,BO,2021-09-09 18:28:40,-22.0866,-65.5942,62.46,4,85,0.94
186,Svit,SK,2021-09-09 18:28:41,49.0601,20.2069,57.88,79,0,4.61
187,Zapolyarnyy,RU,2021-09-09 18:28:41,69.4154,30.8136,42.08,90,99,13.02
188,Blagoyevo,RU,2021-09-09 18:28:41,63.3667,47.9167,41.49,88,60,9.35
189,Morro Agudo,BR,2021-09-09 18:28:42,-20.7314,-48.0578,93.22,18,71,11.56
190,Susehri,TR,2021-09-09 18:28:42,40.1644,38.0867,62.73,68,0,4.65
191,Bloemfontein,ZA,2021-09-09 18:27:11,-29.1211,26.214,58.48,47,0,3.44
192,Lokosovo,RU,2021-09-09 18:28:42,61.1333,74.8167,42.78,77,77,5.3
193,Ancud,CL,2021-09-09 18:28:42,-41.8697,-73.8203,58.53,86,83,9.17
194,Saldanha,ZA,2021-09-09 18:28:43,-33.0117,17.9442,66.25,54,89,9.95
195,Libertador General San Martin,AR,2021-09-09 18:28:43,-23.8064,-64.7876,75.97,20,32,6.62
196,Buraydah,SA,2021-09-09 18:28:43,26.326,43.975,97.25,14,42,11.34
197,Douentza,ML,2021-09-09 18:28:44,14.9951,-2.9517,93.07,36,61,16.31
198,Nalbant,RO,2021-09-09 18:28:44,45.05,28.6167,60.62,51,31,5.75
199,Puerto Ayora,EC,2021-09-09 18:28:45,-0.7393,-90.3518,78.76,83,97,8.99
200,Rundu,NA,2021-09-09 18:28:45,-17.9333,19.7667,78.26,19,74,8.03
201,Awjilah,LY,2021-09-09 18:28:45,29.1081,21.2869,82.87,33,0,13.47
202,Goderich,CA,2021-09-09 18:25:47,43.7501,-81.7165,65.21,63,61,14.97
203,Codrington,AU,2021-09-09 18:28:45,-38.2667,141.9667,49.21,78,100,5.44
204,Camana,PE,2021-09-09 18:28:46,-16.6228,-72.7111,65.5,72,55,9.86
205,Ariquemes,BR,2021-09-09 18:28:46,-9.9133,-63.0408,96.64,33,52,1.77
206,Goundi,TD,2021-09-09 18:28:46,9.3627,17.366,77.07,88,74,2.39
207,Saint George,US,2021-09-09 18:28:47,37.1041,-113.5841,99.07,21,10,1.79
208,Maceio,BR,2021-09-09 18:24:14,-9.6658,-35.7353,85.44,65,40,12.66
209,Burgeo,CA,2021-09-09 18:28:47,47.6167,-57.6152,65.88,79,66,9.89
210,Kampene,CD,2021-09-09 18:28:48,-3.6,26.6667,69.13,93,89,2.08
211,Umm Lajj,SA,2021-09-09 18:28:48,25.0213,37.2685,88.68,59,7,4.38
212,Mahibadhoo,MV,2021-09-09 18:28:48,3.7833,72.9667,82.33,72,40,3.33
213,Muzhi,RU,2021-09-09 18:28:48,65.3667,64.6667,42.62,69,85,9.42
214,Santa Margherita Ligure,IT,2021-09-09 18:28:49,44.3346,9.212,76.73,69,34,1.01
215,Salekhard,RU,2021-09-09 18:24:16,66.53,66.6019,42.8,65,98,7.65
216,Saint-Pierre,RE,2021-09-09 18:28:49,-21.3393,55.4781,71.24,64,75,1.14
217,San Rafael Del Sur,NI,2021-09-09 18:28:49,11.8485,-86.4384,85.17,77,97,8.01
