City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Riachao,BR,-7.3619,-46.6172,98.69,16,6,6.4,clear sky
145,Syracuse,IT,37.0881,15.2792,76.89,69,5,10.27,clear sky
146,Kumluca,TR,36.3703,30.2869,78.48,64,0,4.5,clear sky
147,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,79,3,21.83,clear sky
148,Grindavik,IS,63.8424,-22.4338,52.27,71,75,10.36,broken clouds
149,Bambous Virieux,MU,-20.3428,57.7575,69.22,77,2,9.53,clear sky
150,Tasiilaq,GL,65.6145,-37.6368,46.56,51,0,12.3,clear sky
151,Kapuskasing,CA,49.4169,-82.4331,59.29,76,99,7.16,light rain
152,Astana,KZ,51.1801,71.446,51.75,62,40,8.95,scattered clouds
153,Tahta,EG,26.7693,31.5021,91.04,25,0,14.88,clear sky
154,Gorele,TR,41.0308,39.0031,69.24,84,79,1.57,broken clouds
155,Canton,CN,23.1167,113.25,84.15,75,76,3.89,broken clouds
156,Luderitz,NA,-26.6481,15.1594,56.46,81,37,5.86,scattered clouds
157,Westport,US,41.1415,-73.3579,72.72,92,90,4.0,overcast clouds
158,Guadix,ES,37.2993,-3.1392,71.87,56,38,9.51,scattered clouds
159,Halifax,CA,44.6453,-63.5724,72.52,92,90,5.01,mist
160,Bandarbeyla,SO,9.4942,50.8122,77.25,86,67,31.29,broken clouds
161,Huntingdon,GB,52.3305,-0.1865,69.93,78,18,5.01,few clouds
162,Sari,IR,36.5633,53.0601,70.47,86,100,7.7,overcast clouds
163,Kulhudhuffushi,MV,6.6221,73.07,82.11,75,69,6.02,broken clouds
164,Langnau,CH,46.9394,7.7874,64.53,91,55,3.31,broken clouds
165,Shu,KZ,43.5983,73.7614,61.38,26,0,12.57,clear sky
166,Farafangana,MG,-22.8167,47.8333,69.31,86,5,4.63,light rain
167,Faya,SA,18.3851,42.4509,72.12,28,67,4.32,broken clouds
168,Santo Amaro,BR,-12.5467,-38.7119,78.84,58,11,8.37,few clouds
169,Tucuman,AR,-26.8241,-65.2226,73.4,21,0,6.91,clear sky
170,Abu Samrah,SY,35.3029,37.1841,77.5,50,0,10.47,clear sky
171,Luanda,AO,-8.8368,13.2343,73.4,88,40,10.36,scattered clouds
172,Coracora,PE,-15.0333,-73.7833,61.63,36,60,11.92,broken clouds
173,Hamilton,US,39.1834,-84.5333,78.94,51,40,1.01,scattered clouds
174,Abha,SA,18.2164,42.5053,71.85,14,0,6.91,clear sky
